Bill of Material for ,,,,,,,,,,,,,,,,,,,,,,,,
On 2017/7/5 at 10:22:12,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Comment,Pattern,Quantity,Components,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1k,LC-0603_R,1,R2,,,,,,,,,,,,,,,,,,,,,
8M，12M,LC-HC-49S,2,"Y1, Y2",Crystal Oscillator,,,,,,,,,,https://item.taobao.com/item.htm?spm=a1z09.2.0.0.1f30a53fsL4w1W&id=522692654546&_u=5kjj86229cb,,,,,,,,,,https://item.taobao.com/item.htm?spm=a1z09.2.0.0.1f30a53fsL4w1W&id=522692654546&_u=5kjj86229cb
22nf,LC-0603_C,1,C7,Capacitor,,,,,,,,,,https://item.taobao.com/item.htm?spm=a1z10.3-c-s.w4002-16569462289.39.265e8627q93aBV&id=537585651539,,,,,,,,,,
0.1uf,LC-0603_C,16,"C1, C5, C8, C9, C10, C11, C13, C15, C17, C21, C22, C23, C93, C94, C95, C96",,,,,,,,,,,https://item.taobao.com/item.htm?spm=a1z10.3-c-s.w4002-16569462289.19.265e8627jnVmFP&id=522573286298,,,,,,,,,,
1.5K,LC-0603_R,1,R12,,,,,,,,,,,https://item.taobao.com/item.htm?spm=a1z10.3-c-s.w4002-16569462289.20.4b511ffcDxAeiA&id=525814237339,,,,,,,,,,
100Uf,100UF钽电容,1,C18,Polarized Capacitor (Radial),,,,,,,,,,https://item.taobao.com/item.htm?spm=a1z09.2.0.0.1f30a53fsL4w1W&id=529479850215&_u=5kjj86215a9,,,,,,,,,,
100uf,LC-1206_C,1,C19,Polarized Capacitor (Radial),,,,,,,,,,https://item.taobao.com/item.htm?spm=a1z09.2.0.0.1f30a53fsL4w1W&id=529479850215&_u=5kjj86215a9,,,,,,,,,,
10K,LC-0603_R,5,"R1, R4, R5, R11, R13",,,,,,,,,,,https://item.taobao.com/item.htm?spm=a1z10.3-c-s.w4002-16569462289.37.4b511ffc9GpwpP&id=525777943950,,,,,,,,,,
1k,LC-0603_R,3,"R3, R9, R10",,,,,,,,,,,https://item.taobao.com/item.htm?spm=a1z10.3-c-s.w4002-16569462289.39.4b511ffcx0J3Ho&id=525795113143,,,,,,,,,,
1uF,LC-0603_C,2,"C2, C6",,,,,,,,,,,https://item.taobao.com/item.htm?spm=a1z10.3-c-s.w4002-16569462289.26.4b511ffcpQ48qE&id=522577340017,,,,,,,,,,
20pf,LC-0603_C,4,"C3, C4, C14, C16",,,,,,,,,,,https://item.taobao.com/item.htm?spm=a1z10.3-c-s.w4002-16569462289.25.4b511ffchx54BC&id=537655674931,,,,,,,,,,
22uf,LC-0805_C,1,C12,,,,,,,,,,,https://item.taobao.com/item.htm?spm=a1z10.3-c-s.w4002-16569462289.33.4b511ffct62clw&id=522572846897,,,,,,,,,,
